ID	Variety	Variety_Rename	Maternal	Paternal	Time	N	E	ASI	DTA	DTS	PH	EH	EP	LL	LW	TL	TBN	LAL	LAU
96	Luyuandan14	Luyuandan14	Luyuan92	H21	1999	117.08	36.71	2.8	56.5	59.3	226.6	94.1	41.5	70.8	7.23	39.3	11.9	151.3	26.9
97	Dan413	Dan413	Dan599	Dan340	1999	124.13	40.48	1	63	64	319.3	161.4	50.6	95.8	10.69	39.2	15.9	156.3	27.1
98	Dan2100	Dan2100	Dan9046	Dan598	2000	124.13	40.48	3.3	63.5	66.8	299.2	150.6	50.4	83.1	10.15	34.4	17.9	167.9	13.8
99	Danyu39	Danyu39	C8605_2	Dan598	2001	124.13	40.48	1.5	59.8	61.3	311.1	138.4	44.5	84.5	10.65	37.7	15.5	162.2	21.6
100	Jidan7	Jidan7	Ji533	Chang7_2	2001	112.64	35.09	-0.3	57.8	57.5	319.3	166.6	52.2	90.2	10.15	34.4	19.3	161.3	21.5
101	Shendan16	Shendan16	K12	Shen137	2001	123.56	41.83	1.3	62.8	64	351.2	178.1	50.7	107.4	10.48	44.9	15.2	165.2	18
102	Tiedan12	Tiedan12	C8605_2	9010	2001	123.82	42.25	2.3	57.3	59.5	284.1	128	45	90.6	10.57	32.3	13.8	166.3	16.5
103	Zhengdan958	Zhengdan958	Zheng58	Chang7_2	2001	113.68	34.79	1.8	57.3	59	286.8	136	47.4	94.9	9.92	35.4	17.6	172.4	11.5
104	Ludan981	Ludan981	Qi319	Lx9801	2002	117.08	36.71	2	63.3	65.3	357.1	184.3	51.6	107.8	10.38	49.3	19.5	169.2	15.5
105	Yedan22	Yedan22	488	5237	2002	120	37.19	2.8	56.8	59.5	284.2	121.6	42.7	88.4	10.94	40.3	16.4	166.4	13.9
106	Xundan20	Xundan20	9058	Xun92_8	2003	114.32	35.72	2.5	60	62.5	317.7	153.3	48.2	94.4	10.71	33.9	22.2	170.5	10
107	Xianyu335	HybridB	PH6WC	PH4CV	2004	123.84	42.29	0	60	60	321.4	130.5	40.5	93.1	10.92	40.5	4.7	161.3	21.4
108	Zhongke4	Zhongke4	ZhongKe4M	Lx9801	2004	113.66	34.79	2.5	59.5	62	305.3	149.8	49.1	90.8	10.77	36.8	20.6	166.5	18.6
109	Demeiya1	HybridC	DMY1M	DMY1F	2006	126.75	48.06	0.5	48.5	49	264.7	78.7	29.7	82.3	9.93	35.6	6.4	153.5	27.2
110	Xianyu696	HybridD	PH6WC	PHB1M	2006	123.82	42.25	0	59	59	345.8	146.5	42.3	97.5	10.39	46.3	5.3	159.8	24.7
111	Demeiya2	HybridG	DMY2M	DMY2F	2008	126.75	48.06	0	48.3	48.3	252.7	95	37.7	80.8	9.11	35.3	8.3	139.5	41.6
112	Demeiya3	HybridI	DMY3M	DMY3F	2010	126.75	48.06	1.3	52.3	53.5	288.7	112.3	38.7	93.3	9.38	39.6	8.5	161.4	22.9
113	KWS8855	HybridR	KWS8855M	KWS8855F	2011	126.75	48.06	1.3	55.5	56.8	314.8	118.9	37.8	86.9	10.61	40.9	7.6	157.6	27
114	DK516	HybridJ	DK516M	DK516F	2011	125.34	43.84	0.5	58.3	58.8	281.6	124.1	44	87.6	10.95	34.3	10.6	159.2	23.7
115	Zhongdan909	HybridK	Zheng58	HD586	2011	116.33	39.97	0.8	61	61.8	267	120.3	45	82.3	9.22	33.6	11.3	173.4	9.7
116	Weike702	HybridL	WeiKe702M	WeiKe702F	2012	113.54	34.8	-0.5	63.8	63.3	268.5	125.3	46.5	83.8	9.38	35.2	10.4	169.4	11.7
117	Dongdan6531	HybridN	PH6WC	83B28	2013	123.58	41.91	3.8	62.3	66	300.2	109.7	36.5	87.1	9.66	41.2	6.2	159.3	23.7
118	Yuyu30	HybridM	YuYu30M	YuYu30F	2013	117.08	36.71	-0.3	63	62.8	291	114.7	39.4	82.6	9.19	39.3	4.9	167.3	18.2
119	DK517	HybridP	DK517M	DK517F	2014	125.34	43.84	-1	60	59	262.9	117.3	44.3	83.1	9.51	33.8	10.6	158.9	24.4
120	Xianyu987	HybridQ	PH11V8	PH12TB	2014	123.82	42.25	0.8	59	59.8	306.7	124.2	40.3	95.4	9.77	43.6	5.1	160.5	22.9
