Type,value,sd,trait,treatment
Pi,0.004622,0.003381,asv_000330,HN
NnzSnp,3461.594727,2532.076416,asv_000330,HN
SigmaSq,1.8e-05,3.1e-05,asv_000330,HN
S,-0.327691,0.610627,asv_000330,HN
ResVar,0.007574,0.003665,asv_000330,HN
GenVar,0.008727,0.003764,asv_000330,HN
hsq,0.533768,0.223859,asv_000330,HN
Pi,0.002315,0.00211,asv_000369,HN
NnzSnp,1733.733154,1579.990601,asv_000369,HN
SigmaSq,1.1e-05,2.8e-05,asv_000369,HN
S,0.114867,0.818016,asv_000369,HN
ResVar,0.053627,0.007932,asv_000369,HN
GenVar,0.003601,0.005939,asv_000369,HN
hsq,0.062887,0.102921,asv_000369,HN
Pi,0.002556,0.002182,asv_000370,HN
NnzSnp,1914.307983,1634.081177,asv_000370,HN
SigmaSq,4e-06,5e-06,asv_000370,HN
S,-0.011861,0.882874,asv_000370,HN
ResVar,0.013735,0.002966,asv_000370,HN
GenVar,0.001969,0.002647,asv_000370,HN
hsq,0.125319,0.166916,asv_000370,HN
Pi,0.002969,0.002316,asv_000396,HN
NnzSnp,2223.355469,1734.355103,asv_000396,HN
SigmaSq,3e-06,8e-06,asv_000396,HN
S,-0.587134,0.883182,asv_000396,HN
ResVar,0.006687,0.003203,asv_000396,HN
GenVar,0.003562,0.003158,asv_000396,HN
hsq,0.347015,0.305181,asv_000396,HN
Pi,0.002325,0.002375,asv_000431,HN
NnzSnp,1740.557007,1779.152832,asv_000431,HN
SigmaSq,2e-06,2e-06,asv_000431,HN
S,0.005193,0.84905,asv_000431,HN
ResVar,0.008484,0.001344,asv_000431,HN
GenVar,0.000652,0.00106,asv_000431,HN
hsq,0.07137,0.114954,asv_000431,HN
Pi,0.001968,0.002096,asv_000470,HN
NnzSnp,1473.190308,1569.545166,asv_000470,HN
SigmaSq,1e-06,1e-06,asv_000470,HN
S,0.159636,0.86604,asv_000470,HN
ResVar,0.006174,0.000754,asv_000470,HN
GenVar,0.000251,0.000443,asv_000470,HN
hsq,0.039045,0.068391,asv_000470,HN
Pi,0.002427,0.002277,asv_000473,HN
NnzSnp,1817.230957,1705.265381,asv_000473,HN
SigmaSq,0,0,asv_000473,HN
S,0.005001,0.917943,asv_000473,HN
ResVar,0.001816,0.000334,asv_000473,HN
GenVar,0.000171,0.000284,asv_000473,HN
hsq,0.08602,0.141637,asv_000473,HN
Pi,0.002544,0.002348,asv_000483,HN
NnzSnp,1904.86084,1758.7229,asv_000483,HN
SigmaSq,1e-06,1e-06,asv_000483,HN
S,0.071785,0.854939,asv_000483,HN
ResVar,0.004905,0.000711,asv_000483,HN
GenVar,0.000364,0.00053,asv_000483,HN
hsq,0.069036,0.099607,asv_000483,HN
Pi,0.001847,0.00179,asv_000487,HN
NnzSnp,1382.96936,1340.822144,asv_000487,HN
SigmaSq,1e-06,1e-06,asv_000487,HN
S,0.235313,0.85179,asv_000487,HN
ResVar,0.008624,0.001008,asv_000487,HN
GenVar,0.000259,0.00054,asv_000487,HN
hsq,0.029224,0.060517,asv_000487,HN
Pi,0.002205,0.002325,asv_000498,HN
NnzSnp,1650.662354,1741.279541,asv_000498,HN
SigmaSq,1e-05,1.3e-05,asv_000498,HN
S,0.230742,0.942179,asv_000498,HN
ResVar,0.033348,0.005863,asv_000498,HN
GenVar,0.002825,0.004835,asv_000498,HN
hsq,0.07822,0.132897,asv_000498,HN
Pi,0.001944,0.001913,asv_000511,HN
NnzSnp,1455.300659,1433.075928,asv_000511,HN
SigmaSq,2e-06,2e-06,asv_000511,HN
S,0.144465,0.916382,asv_000511,HN
ResVar,0.014121,0.001844,asv_000511,HN
GenVar,0.000648,0.001216,asv_000511,HN
hsq,0.04389,0.081733,asv_000511,HN
Pi,0.003857,0.002959,asv_000529,HN
NnzSnp,2888.310791,2216.108154,asv_000529,HN
SigmaSq,9.9e-05,0.000191,asv_000529,HN
S,-0.236541,0.708817,asv_000529,HN
ResVar,0.090113,0.036744,asv_000529,HN
GenVar,0.047806,0.036298,asv_000529,HN
hsq,0.345812,0.258593,asv_000529,HN
Pi,0.004316,0.002951,asv_000544,HN
NnzSnp,3232.57959,2210.280518,asv_000544,HN
SigmaSq,1.3e-05,2.5e-05,asv_000544,HN
S,0.000878,0.632685,asv_000544,HN
ResVar,0.012982,0.003707,asv_000544,HN
GenVar,0.004729,0.003607,asv_000544,HN
hsq,0.265981,0.198848,asv_000544,HN
Pi,0.003212,0.002821,asv_000549,HN
NnzSnp,2405.318848,2113.275146,asv_000549,HN
SigmaSq,2e-06,3e-06,asv_000549,HN
S,-0.282389,0.909356,asv_000549,HN
ResVar,0.00424,0.001627,asv_000549,HN
GenVar,0.001453,0.001582,asv_000549,HN
hsq,0.254955,0.275055,asv_000549,HN
Pi,0.001956,0.002026,asv_000551,HN
NnzSnp,1464.289795,1517.597412,asv_000551,HN
SigmaSq,0,0,asv_000551,HN
S,0.17102,0.959517,asv_000551,HN
ResVar,0.001854,0.000253,asv_000551,HN
GenVar,9.6e-05,0.000175,asv_000551,HN
hsq,0.049318,0.088955,asv_000551,HN
Pi,0.004095,0.003057,asv_000559,HN
NnzSnp,3067.050781,2289.84668,asv_000559,HN
SigmaSq,1.2e-05,2.2e-05,asv_000559,HN
S,-0.730451,0.519441,asv_000559,HN
ResVar,0.00725,0.004592,asv_000559,HN
GenVar,0.011578,0.004694,asv_000559,HN
hsq,0.613648,0.242676,asv_000559,HN
Pi,0.004815,0.002921,asv_000570,HN
NnzSnp,3606.691162,2187.198486,asv_000570,HN
SigmaSq,0,1e-06,asv_000570,HN
S,-0.215405,0.53451,asv_000570,HN
ResVar,0.000303,9.2e-05,asv_000570,HN
GenVar,0.000199,9.3e-05,asv_000570,HN
hsq,0.395401,0.178377,asv_000570,HN
Pi,0.002501,0.002495,asv_000575,HN
NnzSnp,1872.940796,1869.433228,asv_000575,HN
SigmaSq,0,1e-06,asv_000575,HN
S,-0.068021,0.853328,asv_000575,HN
ResVar,0.001904,0.000365,asv_000575,HN
GenVar,0.000233,0.000313,asv_000575,HN
hsq,0.108901,0.14516,asv_000575,HN
Pi,0.002886,0.002782,asv_000596,HN
NnzSnp,2161.47168,2083.908447,asv_000596,HN
SigmaSq,1e-06,2e-06,asv_000596,HN
S,0.04203,0.779457,asv_000596,HN
ResVar,0.006651,0.001067,asv_000596,HN
GenVar,0.000595,0.000833,asv_000596,HN
hsq,0.082243,0.114152,asv_000596,HN
Pi,0.002083,0.002266,asv_000629,HN
NnzSnp,1559.292847,1696.619385,asv_000629,HN
SigmaSq,9e-06,1.1e-05,asv_000629,HN
