sampleID DTA_BLUP DTS_BLUP ASI_BLUP LAL_BLUP LAU_BLUP LW_BLUP LL_BLUP PH_BLUP EH_BLUP EP_BLUP TBN_BLUP TL_BLUP ULN_BLUP TLN_HN2016 SD_LF2016
10803 69.82 78.67 1.99 161.43 22.12 10.53 73.98 201.09 77.25 38.22 11.21 32.29 5.48 17.3 24.09
10804 66.29 72.17 0.67 150.96 31.09 8.91 76.88 242.51 88.36 36.09 5.53 36.84 5.17 15 20.07
10806 68.88 76.35 1.84 163.53 22.47 8.74 77.23 207.9 64.51 30.6 3.25 39.17 5.87 18.4 23.24
10807 70.9 78.31 1.19 163.09 21.34 10.22 73.25 183.48 74.47 41.87 11.21 32.12 6.26 19.1 24
11627 64.8 70.08 0.96 143.76 38.43 8.03 63.73 140.92 35.9 25.57 5.8 25.47 6.83 16.6 19.79
11628 61.37 70.08 2.58 161.31 21.9 8.99 81.57 201.73 49.94 24.73 6.17 38.02 5.47 14.8 22.69
11629 66.56 70.31 0.38 151.88 26.77 8.4 78.62 209 55.4 26.35 6.54 33.52 6.17 16.7 22.1
11630 68.5 76.35 1.55 146.38 33.51 8.78 70.79 221.16 75.84 33.84 5.16 33.32 5.79 16.8 21.47
11631 65.2 71.7 1.7 156.28 30.95 9.79 76.27 193.28 59.86 31.18 5.96 29.29 6.11 17.5 20.65
11632 73.65 77.72 2.24 164.57 21.18 8.22 80.64 256.53 111.49 42.7 16.62 39.96 5.31 17 28.08
11633 56.55 64.74 3.02 135.78 42.36 8 54.36 161.44 30.52 18.55 4.95 27.59 5.45 12.8 18.62
11634 65.68 71.47 0.96 158.05 26.01 8.53 79.1 226.9 82.4 36.1 6.32 35.04 6.11 18.8 19.53
11635 72.3 79.36 0.23 166.41 18.94 11.31 66.87 202.5 72.2 35.5 12.56 38.17 5.3 17.8 24.39
11636 64.01 69.61 2.87 155.96 25.7 8.2 68.18 181.3 54.02 29.8 5.82 31.74 5 15.5 16.76
11637 69.91 77.27 1.55 156.82 27.2 9.62 73.22 213.78 74.15 34.77 5.86 31.95 6.29 17.6 20.17
11638 68.29 72.4 0.38 164.91 18.55 9.9 74.23 177.78 65.36 36.6 9.56 28.4 5.87 17 22.58
11639 70.36 76.58 1.7 166.71 19.17 8.98 76.18 177.45 60.86 33.83 9.57 33.75 5.47 17 18.54
11641 62.53 68.69 1.11 158.45 24.79 9.75 60.11 163.42 61 37.87 13.28 28.47 4.97 14 -999
11642 68.54 75.88 2.43 165.09 19.53 9.65 68.18 165.58 63.09 37.86 7.6 28.23 5.05 16 -999
11643 66.17 73.33 1.26 167.05 18.15 8.53 71.78 178.44 52.56 29.11 6.89 30.24 5.66 16 -999
11644 69.16 75.42 0.82 157.46 26.55 10.24 73.12 207.33 74.04 35.44 7.41 31.72 6.04 17.5 -999
12045 66.95 73.1 1.55 143.93 43.19 9.27 67.19 180.79 63.46 35.28 11.33 31.99 5.47 16 23.29
12046 65.44 70.31 1.84 147.13 32.86 10.1 72.27 193.61 61.33 30.86 15.44 32.5 5.94 16 21.17
12047 65.26 73.56 1.7 154.98 31.02 10.23 73.14 202.61 52.71 26.24 6.69 36.64 5.68 15.7 25.23
12048 64.46 69.38 0.67 160.99 30.81 9.34 69.83 194.67 68.58 35.23 10.28 25.81 6.48 18.2 22.9
12049 65.04 71.24 1.4 146.2 34.19 9.23 70.79 191.52 66.02 34.33 5.93 39.59 4.73 15 19.68
12050 65.21 71.94 1.26 147.67 33.76 8.46 67.26 198.25 63.21 31.58 7.41 33.7 6.11 18.4 20.69
12051 67.38 72.4 1.26 158.03 25.86 9.01 79.15 183.93 64.39 34.93 6.73 31.32 5.47 16.3 19.2
12052 57.52 62.65 1.7 152.11 28.06 9.19 62.87 149.85 43.9 29.58 10.64 22.56 5.05 13.3 17.94
12053 64.24 71.01 0.96 160.25 24.09 11.26 59.01 175.14 78.15 45.49 12.92 27.02 5.1 16.7 26.62
12054 61.59 66.36 1.26 148.3 38.66 8.31 63.54 166.39 53.07 31.89 12.07 30.08 5.15 14.8 18.3
12055 66.99 72.4 0.52 159.85 17.97 7.49 72.32 193.36 69.8 36.22 9.44 29.81 5.56 17.3 20.01
12056 66.3 75.88 2.58 152.49 29.96 9.67 75.76 193.07 55.93 29.17 7.16 36.81 4.92 15 22.71
5003 72.39 81.68 2.87 152.02 33.27 9.88 68.66 154.16 53 34.82 12.82 28.65 5.22 17 -999
6096 69.35 76.11 1.11 150.15 34.11 9.27 71.73 187.72 79.88 42.41 12.38 33.72 4.9 16 24.82
6097 71.3 81.45 1.55 165.14 19.68 10.83 79.77 190.28 65.63 34.62 13.35 30.23 5.45 15 22.72
6098 69.15 75.65 0.96 158.27 25.18 9 66.96 185.2 68.57 37.19 9.52 34.37 4.56 14.7 20.68
6099 68.06 74.72 2.28 158.96 25.98 8.28 65.92 174.02 64.28 36.96 13.71 23.15 6.5 17.8 21.41
6100 77.22 83.35 1.41 156.54 31.74 8.84 76.29 216.92 105.95 47.64 14.94 30.78 5.56 18.3 -999
6101 74.34 80.29 0.96 163.24 20.46 9.2 59.42 -999 44.63 38.69 5.27 21.38 5.39 15.3 20.55
6102 69.62 75.65 1.4 151.32 32.63 9.29 65.14 155.26 48.6 31.16 11.41 32.53 4.63 15 21.96
6103 71.97 78.2 0.38 159.16 23.39 10.06 75.82 189.64 82.01 42.23 6.77 32.38 5.45 17.2 27.7
6104 65.07 72.86 1.26 169.35 13.88 9.33 66.23 158.91 63.6 40.14 12.69 30.05 4.81 15.6 18.66
6105 71.43 -999 -999 139.65 42.28 8 57.4 137.18 46.27 31.31 4.4 26.82 5.24 12 15.88
6106 68.63 74.49 0.96 168.07 14.2 10.73 71.72 200.26 60.17 29.81 10.92 31.4 5.94 16 -999
6107 68.22 75.88 0.67 150.87 31.74 7.37 67.67 192.25 83.73 43.35 12.57 29.81 5.56 17 28.23
6108 66.47 72.4 0.23 145.05 38.97 8.23 67.81 180.59 60.36 33.1 10.71 35.63 5.68 15.3 21.62
6109 73.69 79.83 0.52 158.94 24.6 9.81 77.84 202.17 77.67 37.65 7.04 33.15 5.71 18 21
6110 71.6 79.59 1.84 159.48 24.07 8.1 86.61 207.88 74.46 34.94 12.86 37.22 5.06 14 21.89
6111 72.41 80.29 0.82 161.13 23.84 9.57 81.49 212 90.23 41.74 17.59 32.94 5.1 16 20.54
6112 70.42 76.58 0.82 153.63 30.37 9.58 71.18 188.3 86.4 45.55 7.69 29.04 5.21 16.7 19.91
6113 76.61 87.69 2.24 146.28 32.84 9.84 68.62 204.93 83.74 39.88 10.48 36.75 6.06 18 27.72
6114 68.34 76.81 0.67 168.29 14.79 8.28 69.07 188.69 73.08 38.17 6.6 29.48 5.45 15.7 24.59
6115 71.29 78.67 1.26 149.37 32.86 8.43 54.99 187.11 87.14 46.61 13.21 28.5 4.84 18 19.76
6116 65.48 72.17 1.4 140.64 42.11 7.8 74.61 205.72 71.07 34.2 6.29 33.54 4.93 14 19.31
6117 66.16 -999 -999 160.98 23.02 8.09 72.12 154.64 51.07 30.49 8.61 32.32 4.66 17 -999
6118 69.17 75.88 1.4 150.18 32.43 8.87 65.13 163.11 62.06 37.55 12.9 33.07 5.3 16 21.93
6119 72.78 82.84 1.26 164.78 19.18 9.7 75.38 219.25 87.15 39.6 6.68 38.38 6.04 18.3 24.09
6120 67.8 78.2 3.02 167.33 14.77 8.99 71.62 203.2 85.94 41.84 7.52 31.83 5.2 16 21.89
6121 70.33 76.81 0.52 169.26 16.48 9.22 74.13 235.9 92.51 38.54 9.59 36.96 5.28 18 25.7
6122 61.61 67.99 2.14 151.96 31.01 9.55 71.51 187.27 50.65 26.76 10.14 32.73 5.45 15 19.78
6123 61.4 67.99 1.55 150.68 33.82 9.14 62.3 157.54 66.46 42.77 11.34 24.62 4.98 14 16.99
6124 65.38 71.7 1.7 144.95 36.75 9.86 66.85 200.02 69.6 34.73 7.88 30.76 6.1 16.7 18.44
6125 72.33 82.84 1.26 161.65 22.47 9.22 81.26 165.5 71.98 43.09 16.55 33.65 4.85 15 22.12
6126 73.1 81.68 2.28 160.03 24.52 10.19 74.32 188.6 73.14 37.96 23.16 30.48 5.98 16.3 21.05
6127 63.18 71.47 2.43 153.33 27.71 9.73 71.53 202.56 65.6 32.33 7.93 32.61 6.05 15 20.8
6128 62.07 71.32 3.22 148.47 34.99 9.31 73.06 161.76 36.9 22.63 6.75 27.46 5.32 14 17.14
6129 63.29 69.61 1.84 147.44 32.94 9.89 68.52 185.3 72.67 39.37 12.36 33.43 5.1 16 20.69
6130 75.96 82.92 0.58 149.47 31.46 9.15 58.82 158.31 69.19 43.7 14.35 28.9 5.56 17 19.49
6131 71.55 77.74 0.82 159.57 22.12 9.46 68.29 168.21 64.12 38.21 15.94 27.37 5.45 17.4 21.72
6132 70.28 78.2 1.16 160.28 23.59 8.96 71.44 186.85 70.29 38.04 11.83 30.57 5.01 15.7 22.05
6133 62.87 72.63 2.72 160.67 22.55 10.05 68.3 181.55 49.03 26.69 10.51 34.24 6.2 13.3 22.75
6134 68.97 75.88 0.96 161.95 21.27 10.43 75.57 193.22 85.87 44.72 10.06 30.21 5.66 17.7 -999
6135 71.29 77.27 1.84 166.54 18.64 9.55 61.71 146.25 45.44 31.45 5.21 28.15 6.45 17 21.31
6136 70.82 78.9 1.55 156.1 24.12 7.86 68.19 195.36 72.71 37.47 4.68 30.03 5.3 18.5 24.43
6137 70.33 81.92 4.04 170.93 13.09 7.48 81.38 198.23 66.81 33.61 13.46 31.38 6.34 17 27.2
6138 70.32 77.74 0.96 164.34 19.74 10.16 80.98 219.92 90.33 40.47 9.03 35.46 5.71 16.8 26.25
6139 69 77.51 1.84 162.12 19.56 9.44 69.22 198.33 90.26 44.75 22.04 25.57 5.25 17.8 19.84
6140 71.14 75.42 0.67 163.36 18.72 8.22 55.47 163.46 60.42 37.04 7.82 23.9 6.04 18 17.06
6141 65.26 74.49 1.84 158.64 25.94 8.54 68.67 185.81 74.45 39.85 16.86 28.33 5.21 16.5 18.45
6142 71.22 76.58 1.4 157.09 30.8 10.03 64.37 188.49 85.57 44.99 7.59 23.57 4.77 16.7 18.78
6143 70.98 77.97 1.4 174.21 9.4 9.15 79.68 204.78 72.1 35.2 5.45 27.03 6.73 18 22.2
6144 73.51 78.9 1.55 171.1 13.47 9.6 82.64 214.58 84.27 38.93 6.44 30.46 6.14 17 21.47
6145 71.6 78.94 1.09 158.93 27.56 9.95 69.03 214.82 81.35 37.61 8.68 29.9 6.54 17.8 21.68
6146 69.1 75.65 0.96 167.61 16.23 8.87 74.39 160.42 53.3 33.37 7.49 29.14 5.03 15.5 17.57
6147 77.87 -999 -999 165.77 16.62 10.29 67.14 160.83 66.59 41.41 9.19 24.25 5.46 17.3 21.22
6148 67 73.56 1.4 153.74 30.16 9.15 70.04 204.39 78.93 38.53 7.76 29.17 6.04 18 17.53
6149 72.28 -999 -999 162.84 19.93 9.86 68.46 198.59 71.1 36.48 5.91 34.02 5.24 16.3 21.6
6150 69.89 77.04 1.11 161.56 20.51 9.98 72 236.51 80.61 33.89 4.39 31.79 5.69 17.4 19.96
6151 70.57 81.22 2.58 159.48 23.83 9.58 81.76 208.41 81.98 39.04 12.18 28.18 4.93 16.5 23.38
6152 65.3 72.17 0.82 164.09 17.66 9.83 64.64 196.27 67.64 34.53 6.76 26.21 6.09 16 17.74
6153 68.71 74.49 0.52 166.16 18.42 10.24 74.23 186.22 72.63 39.34 9.29 29.31 5.82 16.5 20.01
6154 70.15 77.04 0.67 166.81 18.27 10.19 71.4 187.83 75.16 39.98 15.47 32.06 6.04 17 20.8
8112 69.96 75.88 0.82 171.31 15.37 9.06 74.52 197.52 71.34 35.96 10.49 28.1 5.27 16.2 -999
8380 68.46 75.18 0.82 126.98 58.75 10.14 73.34 198.81 90.6 45.45 11.7 26.86 5.96 18.8 20.09
8381 69.46 88.52 -999 155.78 30.13 9.76 79.02 191.2 55.03 29.04 5.73 37.57 6.18 17 16.95
8382 64.62 -999 -999 159.46 26.67 9.35 72.75 192.1 67.32 34.86 12.24 33.51 6.19 15.8 17.54
8383 66.97 74.26 0.67 127.87 56.13 11.39 71.37 193.13 73.18 38.13 14.45 31.53 5.73 16.7 20.02
8384 63.96 69.85 1.7 148.19 35.71 9.19 67.32 173.28 55.33 32 12.87 32.58 4.85 14.5 20.41
8385 66.79 74.95 2.43 143.33 40.69 9.64 71.56 196.93 63.67 32.41 12.21 31.89 5.97 16.2 21.75
8386 71.43 -999 -999 156.39 27.91 8.3 66.62 149.87 56.02 38.07 10.46 23.28 6.34 20.5 18.78
8387 64.35 70.31 1.4 143.53 42.22 7.98 74.41 197.14 75.17 38.01 14.2 31.98 4.73 13.8 19.62
8388 60.36 -999 -999 128.59 49.02 7.06 58.32 152.41 55.13 35.19 15.02 22.1 4.87 14.8 -999
8389 56.94 62.65 1.84 128.69 46.99 7.89 62.9 150.33 33.32 22.04 6.46 34.58 4.69 11.3 16.21
8390 75.6 81.92 1.55 151.39 27.68 8.66 74.29 196.24 85.93 43.55 14.09 38.56 5.08 17.8 22.93
8391 60.68 70.02 2.52 154.83 27.35 8.23 59.68 147.6 42.69 28.88 20.43 31.22 5.5 14.7 22.35
8392 70.36 73.95 -0.87 159.97 25.48 8.8 64.68 172.23 56.96 32.88 13.56 29.8 6.21 18 22.19
8393 62.2 73.42 2.16 145.92 35.55 7.54 67.11 159.23 57.04 34.85 14.77 24.68 4.63 12 16.62
8394 63.75 69.85 0.82 125.41 52.54 7.8 78.27 175.88 63.11 35.39 10.34 29.83 4.88 14 18.38
8395 63.34 -999 -999 149.44 33.2 7.9 69.51 178.72 57.53 30.56 9.28 30.82 5.09 13.8 18.99
8396 77.68 84.93 1.4 144.87 36.63 8.41 74.56 204.98 93.4 44.73 8.43 26.57 4.25 16 21.3
8397 62.99 69.15 1.26 147.43 31.41 9.69 64.24 186.11 67.23 35.44 11.4 34.65 4.84 14.3 -999
8398 72.56 80.52 1.99 143.42 37.62 8.48 64.44 179.56 66.21 36.62 8.88 35.33 5.37 16.3 21.12
8399 74.33 83.08 1.26 148.54 33.47 8.1 88.54 242.25 115.31 45.64 12.15 42.31 4.93 16.5 22.87
8400 67.98 77.74 2.58 138.59 42.69 8.87 76.96 208.15 74.3 34.86 14.47 34.99 6.45 17 23.98
8401 65.57 72.63 1.99 146.3 32.8 9.08 70.1 202.51 78.23 38.21 10.48 29.62 4.83 14 21.43
8402 76.45 92.02 4.73 151.27 29.13 8.85 81.17 228.13 115.33 50.32 16.02 34.86 5.79 21.3 20.09
8403 55.44 60.79 1.4 145.15 34.6 10.3 73.25 180.77 36.19 19.88 6.6 39.41 5.78 13.3 16.8
8404 72.2 80.47 1.62 154.83 24.04 7.02 74.38 208.9 82.43 39 12.1 31.3 5.85 16.8 20.85
